datetime,run,benchmark,command,size,t_run,t_bookkeeping,t_rmem_write,t_rmem_read,n_fault,t_fault,n_swapfault,n_pfa_fault,n_early_newq,n_evicted,n_fetched,n_kpfad,t_kpfad
01281558,baseline,qsort,./benchmarks/qsort/qsort 10000000,10121216,1187061933,4682534,0,0,3082,33339140,56,0,0,90,0,0,0
01281558,baseline,qsort,./benchmarks/qsort/qsort 10000000,7590912,1174291925,234932019,0,0,12731,300043878,4665,0,0,5293,0,0,0
01281558,baseline,qsort,./benchmarks/qsort/qsort 10000000,5060608,1284625434,311759675,0,0,16899,407614923,6104,0,0,7373,0,0,0
01281558,baseline,qsort,./benchmarks/qsort/qsort 10000000,2530304,1854329880,659898965,0,0,21672,776239267,9767,0,0,11627,0,0,0
01281558,baseline,python,python ./benchmarks/python/bm_spambayes.py,10608640,6079698076,22910073,0,0,11692,292102986,693,0,0,914,0,0,0
01281558,baseline,python,python ./benchmarks/python/bm_spambayes.py,7956480,5901822970,163230477,0,0,25284,591231952,3390,0,0,4110,0,0,0
01281558,baseline,python,python ./benchmarks/python/bm_spambayes.py,5304320,7017560139,590713128,0,0,61626,1523154929,12939,0,0,14301,0,0,0
01281558,baseline,python,python ./benchmarks/python/bm_spambayes.py,2652160,18610640807,4062958679,0,0,364864,11745247769,79697,0,0,81637,0,0,0
01281558,baseline,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,6770688,603644601,1019493,0,0,1979,140940481,58,0,0,838,0,0,0
01281558,baseline,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,5078016,477652592,2396315,0,0,1824,37988430,58,0,0,458,0,0,0
01281558,baseline,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,3385344,496669733,824017,0,0,1987,59983188,58,0,0,867,0,0,0
01281558,baseline,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,1692672,2330848484,1660056917,0,0,75053,1796683377,33439,0,0,34640,0,0,0
01281558,baseline,qsort,./benchmarks/qsort/qsort 10000000,10121216,840481254,0,0,0,2515,22387501,0,0,0,0,0,0,0
01281558,baseline,qsort,./benchmarks/qsort/qsort 10000000,7590912,1097177510,216807727,0,0,12696,275423697,4641,0,0,5284,0,0,0
01281558,baseline,qsort,./benchmarks/qsort/qsort 10000000,5060608,1229576081,294478041,0,0,17055,372799035,6129,0,0,7405,0,0,0
01281558,baseline,qsort,./benchmarks/qsort/qsort 10000000,2530304,1394903077,461351539,0,0,21816,565756472,9765,0,0,11620,0,0,0
01281558,baseline,python,python ./benchmarks/python/bm_spambayes.py,10608640,5986541914,27982271,0,0,10370,221804289,636,0,0,804,0,0,0
01281558,baseline,python,python ./benchmarks/python/bm_spambayes.py,7956480,5649110999,122349752,0,0,18731,323321039,2357,0,0,3091,0,0,0
01281558,baseline,python,python ./benchmarks/python/bm_spambayes.py,5304320,6494747620,549943535,0,0,46460,989682378,11119,0,0,12457,0,0,0
