datetime,run,benchmark,command,size,t_run,t_bookkeeping,t_rmem_write,t_rmem_read,n_fault,t_fault,n_swapfault,n_pfa_fault,n_early_newq,n_evicted,n_fetched,n_kpfad,t_kpfad
01281558,pfa,qsort,./benchmarks/qsort/qsort 10000000,10121216,839572552,0,0,0,2517,22458972,0,0,4,0,0,0,0
01281558,pfa,qsort,./benchmarks/qsort/qsort 10000000,7590912,1081252290,171260983,43322224,0,6883,224473847,0,72,951,5266,4647,0,0
01281558,pfa,qsort,./benchmarks/qsort/qsort 10000000,5060608,1173498120,222729970,59982323,0,9165,298594556,0,95,1463,7329,6063,0,0
01281558,pfa,qsort,./benchmarks/qsort/qsort 10000000,2530304,1363565016,367877372,95224882,0,9281,466080983,0,152,2640,11620,9744,0,0
01281558,pfa,python,python ./benchmarks/python/bm_spambayes.py,10608640,5327759271,16073509,8348629,0,10049,203591576,0,12,98,1005,707,0,0
01281558,pfa,python,python ./benchmarks/python/bm_spambayes.py,7956480,5445411758,91081829,27308419,0,15468,244731899,0,41,247,3333,2627,0,0
01281558,pfa,python,python ./benchmarks/python/bm_spambayes.py,5304320,6147889933,430679836,98074146,0,33989,738679800,0,166,1566,11962,10638,0,0
01281558,pfa,python,python ./benchmarks/python/bm_spambayes.py,2652160,11522480492,2566715064,533332587,0,166196,4979883651,0,986,7657,65064,63097,0,0
01281558,pfa,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,6770688,459514827,1969545,481326,0,1776,21270185,0,0,15,59,42,0,0
01281558,pfa,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,5078016,474910170,1982268,4136419,0,1762,33219344,0,1,15,502,59,0,0
01281558,pfa,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,3385344,487465220,1425160,7595892,0,1907,47705718,0,1,15,891,58,0,0
01281558,pfa,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,1692672,1663292203,910610378,201603032,0,20024,1008275722,0,365,6671,24587,23375,0,0
01281559,01281559,qsort,./benchmarks/qsort/qsort 10000000,10121216,844256024,217905,475228,0,3026,25946973,0,1,4,58,56,0,0
01281559,01281559,qsort,./benchmarks/qsort/qsort 10000000,7590912,1076891775,166028761,42363575,0,6970,219591338,0,70,927,5124,4464,0,0
01281559,01281559,qsort,./benchmarks/qsort/qsort 10000000,5060608,1176248119,232989243,59984706,0,8284,307853664,0,94,1474,7300,6008,0,0
01281559,01281559,qsort,./benchmarks/qsort/qsort 10000000,2530304,1372893182,367280194,95137284,0,9368,467542488,0,151,2589,11555,9686,0,0
01281559,01281559,python,python ./benchmarks/python/bm_spambayes.py,10608640,5442932715,15892765,9216183,0,10982,297939234,0,12,90,1115,756,0,0
01281559,01281559,python,python ./benchmarks/python/bm_spambayes.py,7956480,5513328879,108412885,29823481,0,17365,328801530,0,46,392,3632,2929,0,0
01281559,01281559,python,python ./benchmarks/python/bm_spambayes.py,5304320,6370784665,451726723,109629939,0,38612,941111916,0,188,1755,13341,12045,0,0
01281559,01281559,python,python ./benchmarks/python/bm_spambayes.py,2652160,13890215744,2741236931,600136905,0,209304,7075287308,0,1111,8244,73080,71131,0,0
01281559,01281559,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,6770688,532986667,272025,6928600,0,1933,86111576,0,1,15,846,58,0,0
01281559,01281559,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,5078016,475802787,177533,3772265,0,1793,35784374,0,1,15,456,39,0,0
01281559,01281559,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,3385344,488085609,1397393,7263764,0,1872,47138292,0,1,15,871,58,0,0
