datetime,run,benchmark,command,size,t_run,t_bookkeeping,t_rmem_write,t_rmem_read,n_fault,t_fault,n_swapfault,n_pfa_fault,n_early_newq,n_evicted,n_fetched,n_kpfad,t_kpfad
01281559,rvRamSwap,qsort,./benchmarks/qsort/qsort 10000000,10121216,975045873,118906291,22203302,20364827,8879,153777283,1896,0,0,1948,1896,0,0
01281559,rvRamSwap,qsort,./benchmarks/qsort/qsort 10000000,7590912,1159631620,276079743,60571212,50110444,12717,340468166,4665,0,0,5329,4665,0,0
01281559,rvRamSwap,qsort,./benchmarks/qsort/qsort 10000000,5060608,1277404619,365703574,84038371,65139595,16805,458344256,6072,0,0,7333,6072,0,0
01281559,rvRamSwap,qsort,./benchmarks/qsort/qsort 10000000,2530304,1519444025,581215279,132667273,104581571,21487,705089509,9758,0,0,11630,9758,0,0
01281559,rvRamSwap,qsort,./benchmarks/qsort/qsort 10000000,10121216,852722064,879477,549719,489018,3023,27262878,46,0,0,48,46,0,0
01281559,rvRamSwap,qsort,./benchmarks/qsort/qsort 10000000,7590912,1527374878,587881726,115276766,120346144,13546,665894820,4623,0,0,5260,4623,0,0
01281559,rvRamSwap,qsort,./benchmarks/qsort/qsort 10000000,5060608,1292539306,365928616,85618473,65475152,16552,463902395,6092,0,0,7367,6092,0,0
01281559,rvRamSwap,qsort,./benchmarks/qsort/qsort 10000000,2530304,1522609236,589834947,133827110,104166618,21702,712299655,9778,0,0,11676,9778,0,0
01281559,rvRamSwap,python,python ./benchmarks/python/bm_spambayes.py,10612736,6122662351,36538587,10487148,7484071,11186,573711483,686,0,0,896,686,0,0
01281559,rvRamSwap,python,python ./benchmarks/python/bm_spambayes.py,7959552,6769975761,169203371,50853197,44699652,24655,1082151589,3456,0,0,4186,3456,0,0
01281559,rvRamSwap,python,python ./benchmarks/python/bm_spambayes.py,5306368,9203702578,803392494,179397295,175048183,61459,3085073088,13052,0,0,14571,13052,0,0
01281559,rvRamSwap,python,python ./benchmarks/python/bm_spambayes.py,2653184,28158799398,5329312734,985898172,1124860533,318116,18663172452,75103,0,0,77035,75103,0,0
01281559,rvRamSwap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,33726464,5602541657,1308824596,184837166,167753673,232424,2121861870,15911,0,0,15954,15912,0,0
01281559,rvRamSwap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,25294848,15198319493,10078569031,1987774944,1791262172,336866,11216087004,171746,0,0,173838,171830,0,0
01281559,rvRamSwap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,16863232,16949955115,11822811358,2217378550,1961800283,353500,12925871729,188219,0,0,192354,188481,0,0
01281559,rvRamSwap,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,8431616,26387606528,20870086476,4048386332,3579254285,354097,22024640688,344121,0,0,350324,344572,0,0
01281559,rvRamSwap,xhpl,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,6770688,683488831,1265452,10399960,672078,1988,213083463,58,0,0,853,58,0,0
01281559,rvRamSwap,xhpl,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,5078016,504243961,751808,5344486,402172,1835,54740155,37,0,0,453,37,0,0
01281559,rvRamSwap,xhpl,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,3385344,537101083,4159416,10180967,625243,2014,84142866,58,0,0,883,58,0,0
01281559,rvRamSwap,xhpl,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,1692672,2949858881,2217301194,427192648,374184844,78319,2416482397,35747,0,0,36962,35747,0,0
