datetime,run,benchmark,command,size,t_run,t_bookkeeping,t_rmem_write,t_rmem_read,n_fault,t_fault,n_swapfault,n_pfa_fault,n_early_newq,n_evicted,n_fetched,n_kpfad,t_kpfad
08041845,x86,qsort,./benchmarks/qsort/qsort 10000000,10121216,740838366,40417032,10861906,5409520,0,0,2597,0,0,2681,2603,0,0
08041845,x86,qsort,./benchmarks/qsort/qsort 10000000,7590912,754950612,53970494,15770088,5220052,0,0,3468,0,0,4114,3474,0,0
08041845,x86,qsort,./benchmarks/qsort/qsort 10000000,5060608,823402572,101838158,27772688,9374244,0,0,6254,0,0,7538,6301,0,0
08041845,x86,qsort,./benchmarks/qsort/qsort 10000000,2530304,902660119,156887424,39112205,15137044,0,0,9988,0,0,11917,10000,0,0
08041845,x86,python,python ./benchmarks/python/bm_spambayes.py,10608640,1173635940,284812,235192,84860,0,0,50,0,0,53,53,0,0
08041845,x86,python,python ./benchmarks/python/bm_spambayes.py,7956480,1181531396,34435546,9884296,3010828,0,0,1816,0,0,2415,1994,0,0
08041845,x86,python,python ./benchmarks/python/bm_spambayes.py,5304320,1206494198,163386702,31843008,15535806,0,0,9516,0,0,10722,10096,0,0
08041845,x86,python,python ./benchmarks/python/bm_spambayes.py,2652160,2640813121,1063190218,179722354,96779975,0,0,63496,0,0,65387,64531,0,0
08041845,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,33726464,354072084,115377596,8377340,17963166,0,0,6650,0,0,6726,6658,0,0
08041845,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,25294848,2744175388,2121051996,35549662,598934012,0,0,171822,0,0,173948,171963,0,0
08041845,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,16863232,3395787828,2671452764,37316218,598878436,0,0,216246,0,0,220451,217219,0,0
08041845,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,8431616,4790202616,3887267312,37590697,775973680,0,0,344260,0,0,350497,345997,0,0
08041845,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,6770688,150665678,287040,2543512,118452,0,0,47,0,0,569,53,0,0
08041845,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,5078016,151157550,321096,4779566,117386,0,0,49,0,0,1167,53,0,0
08041845,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,3385344,158452899,878690,5673209,93167,0,0,52,0,0,1344,56,0,0
08041845,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,1692672,710121288,437398186,95664438,32611488,0,0,24717,0,0,25954,24737,0,0
08041845,x86,qsort,./benchmarks/qsort/qsort 10000000,10121216,739066232,40549688,11033180,6209504,0,0,2640,0,0,2691,2646,0,0
08041845,x86,qsort,./benchmarks/qsort/qsort 10000000,7590912,757925405,53757246,15985960,5330044,0,0,3440,0,0,4087,3453,0,0
08041845,x86,qsort,./benchmarks/qsort/qsort 10000000,5060608,819524854,101522562,27376096,9504296,0,0,6235,0,0,7498,6277,0,0
08041845,x86,qsort,./benchmarks/qsort/qsort 10000000,2530304,908182070,158950740,38979904,15738140,0,0,10055,0,0,11979,10067,0,0
08041845,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,6770688,144023361,270816,2470281,115560,0,0,48,0,0,589,53,0,0
08041845,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,5078016,149749630,350267,4025339,159116,0,0,48,0,0,937,56,0,0
08041845,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,3385344,154406528,302967,5801199,113443,0,0,59,0,0,1353,66,0,0
08041845,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,1692672,704837606,438292144,94213862,33131022,0,0,24678,0,0,25899,24708,0,0
08041845,x86,python,python ./benchmarks/python/bm_spambayes.py,10608640,1072695432,482764,177768,57896,0,0,37,0,0,39,38,0,0
08041845,x86,python,python ./benchmarks/python/bm_spambayes.py,7956480,1068807828,36412466,9735360,3091712,0,0,1859,0,0,2462,2045,0,0
08041845,x86,python,python ./benchmarks/python/bm_spambayes.py,5304320,1171491644,161459628,32390710,15891382,0,0,9567,0,0,10770,10175,0,0
08041845,x86,python,python ./benchmarks/python/bm_spambayes.py,2652160,2568341201,1055291760,178389936,95327516,0,0,62917,0,0,64817,63902,0,0
08041845,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,33726464,344236932,112388248,6674100,18264640,0,0,6688,0,0,6724,6706,0,0
08041845,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,25294848,2738840356,2105762800,35168494,614921784,0,0,170675,0,0,172796,170822,0,0
08041845,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,16863232,3491827694,2763955670,36737049,607431980,0,0,221405,0,0,225576,222544,0,0
08041845,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,8431616,4772774222,3876034328,37635576,744564772,0,0,344237,0,0,350461,345334,0,0
08041845,x86,python,python ./benchmarks/python/bm_spambayes.py,10608640,1005750088,236064,193856,64568,0,0,40,0,0,42,42,0,0
08041845,x86,python,python ./benchmarks/python/bm_spambayes.py,7956480,1061370359,38120583,9721844,3035201,0,0,1848,0,0,2439,2045,0,0
08041845,x86,python,python ./benchmarks/python/bm_spambayes.py,5304320,1473796220,170078264,32713556,15951622,0,0,9521,0,0,10748,10150,0,0
08041845,x86,python,python ./benchmarks/python/bm_spambayes.py,2652160,2435417372,1072806982,179182166,95966272,0,0,64032,0,0,65914,65073,0,0
08041845,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,6770688,149263444,291395,2408721,122503,0,0,48,0,0,566,55,0,0
08041845,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,5078016,149944690,285032,4213644,102576,0,0,48,0,0,975,50,0,0
08041845,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,3385344,162637775,996198,6124599,106032,0,0,52,0,0,1349,60,0,0
08041845,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,1692672,706351106,431655713,94316732,33181323,0,0,24557,0,0,25785,24582,0,0
08041845,x86,qsort,./benchmarks/qsort/qsort 10000000,10121216,732452448,39210932,10057436,5751504,0,0,2641,0,0,2688,2647,0,0
08041845,x86,qsort,./benchmarks/qsort/qsort 10000000,7590912,758952550,54068282,16304220,5017508,0,0,3473,0,0,4132,3487,0,0
08041845,x86,qsort,./benchmarks/qsort/qsort 10000000,5060608,820686322,101369986,27799340,9511544,0,0,6227,0,0,7538,6266,0,0
08041845,x86,qsort,./benchmarks/qsort/qsort 10000000,2530304,905328236,158926908,39544860,15661612,0,0,10100,0,0,12016,10107,0,0
08041845,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,33726464,326109439,100212518,6658848,15355558,0,0,5848,0,0,5903,5883,0,0
08041845,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,25294848,2691964520,2070282360,34673270,585572624,0,0,171470,0,0,173568,171605,0,0
08041845,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,16863232,3584870699,2846296272,36807970,643543702,0,0,232721,0,0,236907,233929,0,0
08041845,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,8431616,4724011089,3826910716,37236429,753666496,0,0,344268,0,0,350488,345569,0,0
08041900,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,6770688,158477532,359908,3199304,170394,0,0,47,0,0,582,53,0,0
08041900,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,5078016,159344621,361854,4729878,124688,0,0,48,0,0,938,54,0,0
08041900,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,3385344,161015544,1104836,6918066,130258,0,0,57,0,0,1370,63,0,0
08041900,x86,linpack,./benchmarks/linpack/bin/xhpl ./benchmarks/linpack/small.dat,1692672,706432196,435806054,96450448,33851786,0,0,24691,0,0,25907,24712,0,0
08041900,x86,qsort,./benchmarks/qsort/qsort 10000000,10121216,735196210,41065772,10214112,5108364,0,0,2636,0,0,2696,2640,0,0
08041900,x86,qsort,./benchmarks/qsort/qsort 10000000,7590912,756890254,53734230,16051856,5311584,0,0,3386,0,0,4050,3398,0,0
08041900,x86,qsort,./benchmarks/qsort/qsort 10000000,5060608,824108116,104241038,27978492,9728604,0,0,6274,0,0,7547,6307,0,0
08041900,x86,qsort,./benchmarks/qsort/qsort 10000000,2530304,912638790,159203212,39534984,15454664,0,0,9989,0,0,11905,9994,0,0
08041900,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,33726464,410579246,150929500,10764688,22570696,0,0,7985,0,0,8022,8000,0,0
08041900,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,25294848,2687015136,2063174882,35870940,598478212,0,0,171036,0,0,173160,171167,0,0
08041900,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,16863232,3382016483,2667862876,37376594,567893880,0,0,209562,0,0,213734,210405,0,0
08041900,x86,pagerank,./benchmarks/pagerank/pagerank -n 2048 ./benchmarks/pagerank/pagerank-data-2048.bin,8431616,4740310252,3843389890,37849129,780699352,0,0,344236,0,0,350484,345809,0,0
08041900,x86,python,python ./benchmarks/python/bm_spambayes.py,10608640,1175111842,276600,221704,73300,0,0,42,0,0,44,44,0,0
08041900,x86,python,python ./benchmarks/python/bm_spambayes.py,7956480,1128447110,37764848,9555152,3005664,0,0,1884,0,0,2463,2096,0,0
08041900,x86,python,python ./benchmarks/python/bm_spambayes.py,5304320,1292374790,158285283,32425516,15655584,0,0,9382,0,0,10599,9970,0,0
08041900,x86,python,python ./benchmarks/python/bm_spambayes.py,2652160,2548835371,1062701001,179934732,96842696,0,0,63960,0,0,65864,64988,0,0
